CIC_MEM_VERS	=	1.0																			
CREATION_DATE	=	2012-03-29T11:35:51.065																			
ORIGINATOR	=	CNES	- DCT/DA/PA-																	

META_START
																					
COMMENT																					
COMMENT	Consumed power :
COMMENT	SURVIE VEILLE        : 68 W
COMMENT	VEILLE               : 103 W
COMMENT	ACQUISITION          : 137 W
COMMENT	MANOEUVRE D'ATTITUDE : 110 W
COMMENT	TRANSMISSION BANDE S : 118 W
COMMENT	TRANSMISSION BANDE X : 173 W
COMMENT
						
OBJECT_NAME	=	CIC-Sat																			
OBJECT_ID	=	CIC-Sat																			

USER_DEFINED_PROTOCOL	=	CIC																			
USER_DEFINED_CONTENT	=	SATELLITE_CONSUMED_POWER

TIME_SYSTEM	=	UTC
																			
META_STOP		

57578	9420	103
57578	9430	103
57578	9440	103
57578	9450	103
57578	9460	103
57578	9470	103
57578	9480	103
57578	9490	103
57578	9500	103
57578	9510	103
57578	9520	103
57578	9530	103
57578	9540	103
57578	9550	103
57578	9560	103
57578	9570	103
57578	9580	103
57578	9590	103
57578	9600	103
57578	9610	103
57578	9620	103
57578	9630	103
57578	9640	103
57578	9650	103
57578	9660	103
57578	9670	103
57578	9680	103
57578	9690	103
57578	9700	103
57578	9710	103
57578	9720	103
57578	9730	103
57578	9740	103
57578	9750	103
57578	9760	103
57578	9770	103
57578	9780	103
57578	9790	103
57578	9800	103
57578	9810	103
57578	9820	103
57578	9830	103
57578	9840	103
57578	9850	103
57578	9860	103
57578	9870	103
57578	9880	103
57578	9890	103
57578	9900	103
57578	9910	103
57578	9920	103
57578	9930	103
57578	9940	103
57578	9950	103
57578	9960	103
57578	9970	103
57578	9980	103
57578	9990	103
57578	10000	103
57578	10010	103
57578	10020	103
57578	10030	103
57578	10040	103
57578	10050	103
57578	10060	103
57578	10070	103
57578	10080	103
57578	10090	103
57578	10100	103
57578	10110	103
57578	10120	103
57578	10130	103
57578	10140	103
57578	10150	103
57578	10160	103
57578	10170	103
57578	10180	103
57578	10190	103
57578	10200	103
57578	10210	103
57578	10220	103
57578	10230	103
57578	10240	103
57578	10250	103
57578	10260	103
57578	10270	103
57578	10280	103
57578	10290	103
57578	10300	103
57578	10310	103
57578	10320	103
57578	10330	103
57578	10340	103
57578	10350	103
57578	10360	103
57578	10370	103
57578	10380	103
57578	10390	103
57578	10400	103
57578	10410	103
57578	10420	103
57578	10430	103
57578	10440	103
57578	10450	103
57578	10460	103
57578	10470	103
57578	10480	103
57578	10490	103
57578	10500	103
57578	10510	103
57578	10520	103
57578	10530	103
57578	10540	103
57578	10550	103
57578	10560	103
57578	10570	103
57578	10580	103
57578	10590	103
57578	10600	103
57578	10610	103
57578	10620	103
57578	10630	103
57578	10640	103
57578	10650	103
57578	10660	103
57578	10670	103
57578	10680	103
57578	10690	103
57578	10700	103
57578	10710	103
57578	10720	103
57578	10730	103
57578	10740	103
57578	10750	103
57578	10760	103
57578	10770	103
57578	10780	103
57578	10790	103
57578	10800	103
57578	10810	103
57578	10820	103
57578	10830	103
57578	10840	103
57578	10850	103
57578	10860	103
57578	10870	103
57578	10880	103
57578	10890	103
57578	10900	103
57578	10910	103
57578	10920	103
57578	10930	103
57578	10940	103
57578	10950	103
57578	10960	103
57578	10970	103
57578	10980	103
57578	10990	103
57578	11000	103
57578	11010	103
57578	11020	103
57578	11030	103
57578	11040	103
57578	11050	103
57578	11060	103
57578	11070	103
57578	11080	103
57578	11090	103
57578	11100	103
57578	11110	103
57578	11120	103
57578	11130	103
57578	11140	103
57578	11150	103
57578	11160	103
57578	11170	103
57578	11180	103
57578	11190	103
57578	11200	103
57578	11210	103
57578	11220	103
57578	11230	103
57578	11240	103
57578	11250	103
57578	11260	103
57578	11270	103
57578	11280	103
57578	11290	103
57578	11300	103
57578	11310	103
57578	11320	103
57578	11330	103
57578	11340	103
57578	11350	103
57578	11360	103
57578	11370	103
57578	11380	103
57578	11390	103
57578	11400	103
57578	11410	118
57578	11420	118
57578	11430	118
57578	11440	118
57578	11450	118
57578	11460	118
57578	11470	118
57578	11480	118
57578	11490	118
57578	11500	118
57578	11510	118
57578	11520	118
57578	11530	118
57578	11540	118
57578	11550	118
57578	11560	118
57578	11570	118
57578	11580	118
57578	11590	118
57578	11600	118
57578	11610	118
57578	11620	118
57578	11630	118
57578	11640	118
57578	11650	118
57578	11660	118
57578	11670	118
57578	11680	118
57578	11690	118
57578	11700	118
57578	11710	118
57578	11720	118
57578	11730	118
57578	11740	118
57578	11750	118
57578	11760	118
57578	11770	118
57578	11780	118
57578	11790	118
57578	11800	118
57578	11810	118
57578	11820	118
57578	11830	118
57578	11840	118
57578	11850	118
57578	11860	118
57578	11870	118
57578	11880	118
57578	11890	103
57578	11900	103
57578	11910	103
57578	11920	103
57578	11930	103
57578	11940	103
57578	11950	103
57578	11960	103
57578	11970	103
57578	11980	103
57578	11990	103
57578	12000	103
57578	12010	103
57578	12020	103
57578	12030	103
57578	12040	103
57578	12050	103
57578	12060	103
57578	12070	103
57578	12080	103
57578	12090	103
57578	12100	103
57578	12110	103
57578	12120	103
57578	12130	103
57578	12140	103
57578	12150	103
57578	12160	103
57578	12170	103
57578	12180	103
57578	12190	103
57578	12200	103
57578	12210	103
57578	12220	103
57578	12230	103
57578	12240	103
57578	12250	103
57578	12260	103
57578	12270	103
57578	12280	103
57578	12290	103
57578	12300	103
57578	12310	103
57578	12320	103
57578	12330	103
57578	12340	103
57578	12350	103
57578	12360	103
57578	12370	103
57578	12380	103
57578	12390	103
57578	12400	103
57578	12410	103
57578	12420	103
57578	12430	103
57578	12440	103
57578	12450	103
57578	12460	103
57578	12470	103
57578	12480	103
57578	12490	103
57578	12500	103
57578	12510	103
57578	12520	103
57578	12530	103
57578	12540	103
57578	12550	103
57578	12560	103
57578	12570	103
57578	12580	103
57578	12590	103
57578	12600	103
57578	12610	103
57578	12620	103
57578	12630	103
57578	12640	103
57578	12650	103
57578	12660	103
57578	12670	103
57578	12680	103
57578	12690	103
57578	12700	103
57578	12710	103
57578	12720	103
57578	12730	103
57578	12740	103
57578	12750	103
57578	12760	103
57578	12770	103
57578	12780	103
57578	12790	103
57578	12800	103
57578	12810	103
57578	12820	103
57578	12830	103
57578	12840	173
57578	12850	173
57578	12860	173
57578	12870	173
57578	12880	173
57578	12890	173
57578	12900	173
57578	12910	173
57578	12920	173
57578	12930	173
57578	12940	173
57578	12950	173
57578	12960	173
57578	12970	173
57578	12980	173
57578	12990	173
57578	13000	173
57578	13010	173
57578	13020	173
57578	13030	173
57578	13040	173
57578	13050	173
57578	13060	173
57578	13070	173
57578	13080	173
57578	13090	173
57578	13100	173
57578	13110	173
57578	13120	173
57578	13130	173
57578	13140	173
57578	13150	173
57578	13160	173
57578	13170	173
57578	13180	173
57578	13190	173
57578	13200	173
57578	13210	173
57578	13220	173
57578	13230	173
57578	13240	173
57578	13250	173
57578	13260	173
57578	13270	173
57578	13280	173
57578	13290	173
57578	13300	173
57578	13310	173
57578	13320	103
57578	13330	103
57578	13340	103
57578	13350	103
57578	13360	103
57578	13370	103
57578	13380	103
57578	13390	103
57578	13400	103
57578	13410	103
57578	13420	103
57578	13430	103
57578	13440	103
57578	13450	103
57578	13460	103
57578	13470	103
57578	13480	103
57578	13490	103
57578	13500	103
57578	13510	103
57578	13520	103
57578	13530	103
57578	13540	103
57578	13550	103
57578	13560	103
57578	13570	103
57578	13580	103
57578	13590	103
57578	13600	103
57578	13610	103
57578	13620	103
57578	13630	103
57578	13640	103
57578	13650	103
57578	13660	103
57578	13670	103
57578	13680	103
57578	13690	103
57578	13700	103
57578	13710	103
57578	13720	103
57578	13730	103
57578	13740	103
57578	13750	103
57578	13760	103
57578	13770	103
57578	13780	103
57578	13790	103
57578	13800	103
57578	13810	103
57578	13820	103
57578	13830	103
57578	13840	103
57578	13850	103
57578	13860	103
57578	13870	103
57578	13880	103
57578	13890	103
57578	13900	103
57578	13910	103
57578	13920	103
57578	13930	103
57578	13940	103
57578	13950	103
57578	13960	103
57578	13970	103
57578	13980	103
57578	13990	103
57578	14000	103
57578	14010	103
57578	14020	103
57578	14030	103
57578	14040	103
57578	14050	103
57578	14060	103
57578	14070	103
57578	14080	103
57578	14090	103
57578	14100	103
57578	14110	103
57578	14120	103
57578	14130	103
57578	14140	103
57578	14150	103
57578	14160	103
57578	14170	103
57578	14180	103
57578	14190	103
57578	14200	103
57578	14210	103
57578	14220	103
57578	14230	103
57578	14240	103
57578	14250	103
57578	14260	103
57578	14270	103
57578	14280	103
57578	14290	103
57578	14300	103
57578	14310	103
57578	14320	103
57578	14330	103
57578	14340	103
57578	14350	103
57578	14360	103
57578	14370	103
57578	14380	103
57578	14390	103
57578	14400	103
57578	14410	103
57578	14420	103
57578	14430	103
57578	14440	103
57578	14450	103
57578	14460	103
57578	14470	103
57578	14480	103
57578	14490	103
57578	14500	103
57578	14510	103
57578	14520	103
57578	14530	103
57578	14540	103
57578	14550	103
57578	14560	103
57578	14570	103
57578	14580	103
57578	14590	103
57578	14600	103
57578	14610	103
57578	14620	103
57578	14630	103
57578	14640	103
57578	14650	103
57578	14660	103
57578	14670	103
57578	14680	103
57578	14690	103
57578	14700	103
57578	14710	103
57578	14720	103
57578	14730	103
57578	14740	103
57578	14750	103
57578	14760	103
57578	14770	103
57578	14780	103
57578	14790	103
57578	14800	103
57578	14810	103
57578	14820	103
57578	14830	103
57578	14840	103
57578	14850	103
57578	14860	103
57578	14870	103
57578	14880	103
57578	14890	103
57578	14900	103
57578	14910	103
57578	14920	103
57578	14930	103
57578	14940	103
57578	14950	103
57578	14960	103
57578	14970	103
57578	14980	103
57578	14990	103
57578	15000	103
57578	15010	103
57578	15020	103
57578	15030	103
57578	15040	103
57578	15050	103
57578	15060	103
57578	15070	103
57578	15080	103
57578	15090	103
57578	15100	103
57578	15110	103
57578	15120	103
57578	15130	103
57578	15140	103
57578	15150	103
57578	15160	103
57578	15170	103
57578	15180	103
57578	15190	103
57578	15200	103
57578	15210	103
