CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:52.253
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC

META_STOP

57578 5930.00000 0.00086
57578 5940.00000 0.00083
57578 5950.00000 0.00081
57578 5960.00000 0.00078
57578 5970.00000 0.00074
57578 5980.00000 0.00071
57578 5990.00000 0.00067
57578 6000.00000 0.00064
57578 6010.00000 0.00060
57578 6020.00000 0.00056
57578 6030.00000 0.00051
57578 6040.00000 0.00047
57578 6050.00000 0.00043
57578 6060.00000 0.00038
57578 6070.00000 0.00033
57578 6080.00000 0.00028
57578 6090.00000 0.00023
57578 6100.00000 0.00017
57578 6110.00000 0.00012
57578 6120.00000 0.00006
57578 6130.00000 0.00001
57578 6140.00000 -0.00005
57578 6150.00000 -0.00011
57578 6160.00000 -0.00017
57578 6170.00000 -0.00023
57578 6180.00000 -0.00029
57578 6190.00000 -0.00036
57578 6200.00000 -0.00042
57578 6210.00000 -0.00049
57578 6220.00000 -0.00055
57578 6230.00000 -0.00062
57578 6240.00000 -0.00068
57578 6250.00000 -0.00075
57578 6260.00000 -0.00082
57578 6270.00000 -0.00088
57578 6280.00000 -0.00095
57578 6290.00000 -0.00101
57578 6300.00000 -0.00108
57578 6310.00000 -0.00115
57578 6320.00000 -0.00121
57578 6330.00000 -0.00128
57578 6340.00000 -0.00134
57578 6350.00000 -0.00141
57578 6360.00000 -0.00147
57578 6370.00000 -0.00153
57578 6380.00000 -0.00159
57578 6390.00000 -0.00166
57578 6400.00000 -0.00171
57578 6410.00000 -0.00177
57578 6420.00000 -0.00183
57578 6430.00000 -0.00188
57578 6440.00000 -0.00194
57578 6450.00000 -0.00199
57578 6460.00000 -0.00204
57578 6470.00000 -0.00209
57578 6480.00000 -0.00214
57578 6490.00000 -0.00218
57578 6500.00000 -0.00223
57578 6510.00000 -0.00227
57578 6520.00000 -0.00230
57578 6530.00000 -0.00234
57578 6540.00000 -0.00238
57578 6550.00000 -0.00241
57578 6560.00000 -0.00244
57578 6570.00000 -0.00246
57578 6580.00000 -0.00249
57578 6590.00000 -0.00251
57578 6600.00000 -0.00253
57578 6610.00000 -0.00254
57578 6620.00000 -0.00256
57578 6630.00000 -0.00257
57578 6640.00000 -0.00258
57578 6650.00000 -0.00258
57578 6660.00000 -0.00259
57578 6670.00000 -0.00259
57578 6680.00000 -0.00258
57578 6690.00000 -0.00258
57578 6700.00000 -0.00257
57578 6710.00000 -0.00256
57578 6720.00000 -0.00254
57578 6730.00000 -0.00252
57578 6740.00000 -0.00250
57578 6750.00000 -0.00248
57578 6760.00000 -0.00246
57578 6770.00000 -0.00243
57578 6780.00000 -0.00240
57578 6790.00000 -0.00236
57578 6800.00000 -0.00233
57578 6810.00000 -0.00229
57578 6820.00000 -0.00225
57578 6830.00000 -0.00220
57578 6840.00000 -0.00216
57578 6850.00000 -0.00211
57578 6860.00000 -0.00206
57578 6870.00000 -0.00200
57578 6880.00000 -0.00195
57578 6890.00000 -0.00189
57578 6900.00000 -0.00183
57578 6910.00000 -0.00177
57578 6920.00000 -0.00171
57578 6930.00000 -0.00164
57578 6940.00000 -0.00158
57578 6950.00000 -0.00151
57578 6960.00000 -0.00144
57578 6970.00000 -0.00137
57578 6980.00000 -0.00130
57578 6990.00000 -0.00122
57578 7000.00000 -0.00115
57578 7010.00000 -0.00107
57578 7020.00000 -0.00100
57578 7030.00000 -0.00092
57578 7040.00000 -0.00084
57578 7050.00000 -0.00077
57578 7060.00000 -0.00069
57578 7070.00000 -0.00061
57578 7080.00000 -0.00053
57578 7090.00000 -0.00045
57578 7100.00000 -0.00037
57578 7110.00000 -0.00029
57578 7120.00000 -0.00021
57578 7130.00000 -0.00014
57578 7140.00000 -0.00006
57578 7150.00000 0.00002
57578 7160.00000 0.00010
57578 7170.00000 0.00017
57578 7180.00000 0.00025
57578 7190.00000 0.00032
57578 7200.00000 0.00040
57578 7210.00000 0.00047
57578 7220.00000 0.00054
57578 7230.00000 0.00061
57578 7240.00000 0.00068
57578 7250.00000 0.00074
57578 7260.00000 0.00081
57578 7270.00000 0.00087
57578 7280.00000 0.00094
57578 7290.00000 0.00100
57578 7300.00000 0.00105
57578 7310.00000 0.00111
57578 7320.00000 0.00117
57578 7330.00000 0.00122
57578 7340.00000 0.00127
57578 7350.00000 0.00132
57578 7360.00000 0.00137
57578 7370.00000 0.00141
57578 7380.00000 0.00145
57578 7390.00000 0.00149
57578 7400.00000 0.00153
57578 7410.00000 0.00157
57578 7420.00000 0.00160
57578 7430.00000 0.00163
57578 7440.00000 0.00166
57578 7450.00000 0.00169
57578 7460.00000 0.00171
57578 7470.00000 0.00174
57578 7480.00000 0.00176
57578 7490.00000 0.00177
57578 7500.00000 0.00179
57578 7510.00000 0.00180
57578 7520.00000 0.00181
57578 7530.00000 0.00182
57578 7540.00000 0.00183
57578 7550.00000 0.00183
57578 7560.00000 0.00184
57578 7570.00000 0.00184
57578 7580.00000 0.00183
57578 7590.00000 0.00183
57578 7600.00000 0.00183
57578 7610.00000 0.00182
57578 7620.00000 0.00181
57578 7630.00000 0.00180
57578 7640.00000 0.00179
57578 7650.00000 0.00177
57578 7660.00000 0.00176
57578 7670.00000 0.00174
57578 7680.00000 0.00172
57578 7690.00000 0.00170
57578 7700.00000 0.00168
57578 7710.00000 0.00166
57578 7720.00000 0.00164
57578 7730.00000 0.00161
57578 7740.00000 0.00159
57578 7750.00000 0.00156
57578 7760.00000 0.00153
57578 7770.00000 0.00151
57578 7780.00000 0.00148
57578 7790.00000 0.00145
57578 7800.00000 0.00142
57578 7810.00000 0.00139
57578 7820.00000 0.00136
57578 7830.00000 0.00133
57578 7840.00000 0.00130
57578 7850.00000 0.00127
57578 7860.00000 0.00124
57578 7870.00000 0.00121
57578 7880.00000 0.00118
57578 7890.00000 0.00115
57578 7900.00000 0.00112
57578 7910.00000 0.00109
57578 7920.00000 0.00106
57578 7930.00000 0.00103
57578 7940.00000 0.00100
57578 7950.00000 0.00097
57578 7960.00000 0.00094
57578 7970.00000 0.00092
57578 7980.00000 0.00089
57578 7990.00000 0.00086
57578 8000.00000 0.00084
57578 9000.00000 -45.30199
57578 9010.00000 -44.68249
57578 9020.00000 -44.06302
57578 9030.00000 -43.44356
57578 9040.00000 -42.82412
57578 9050.00000 -42.20469
57578 9060.00000 -41.58528
57578 9070.00000 -40.96589
57578 9080.00000 -40.34651
57578 9090.00000 -39.72715
57578 9100.00000 -39.10780
57578 9110.00000 -38.48847
57578 9120.00000 -37.86916
57578 9130.00000 -37.24986
57578 9140.00000 -36.63058
57578 9150.00000 -36.01132
57578 9160.00000 -35.39207
57578 9170.00000 -34.77284
57578 9180.00000 -34.15362
57578 9190.00000 -33.53442
57578 9200.00000 -32.91524
57578 9210.00000 -32.29607
57578 9220.00000 -31.67692
57578 9230.00000 -31.05779
57578 9240.00000 -30.43867
57578 9250.00000 -29.81956
57578 9260.00000 -29.20048
57578 9270.00000 -28.58140
57578 9280.00000 -27.96235
57578 9290.00000 -27.34331
57578 9300.00000 -26.72428
57578 9310.00000 -26.10527
57578 9320.00000 -25.48628
57578 9330.00000 -24.86730
57578 9340.00000 -24.24834
57578 9350.00000 -23.62939
57578 9360.00000 -23.01046
57578 9370.00000 -22.39154
57578 9380.00000 -21.77264
57578 9390.00000 -21.15375
57578 9400.00000 -20.53488
57578 9410.00000 -19.91602
57578 9420.00000 -19.29718
57578 9430.00000 -18.67835
57578 9440.00000 -18.05953
57578 9450.00000 -17.44073
57578 9460.00000 -16.82195
57578 9470.00000 -16.20318
57578 9480.00000 -15.58442
57578 9490.00000 -14.96568
57578 9500.00000 -14.34695
57578 9510.00000 -13.72823
57578 9520.00000 -13.10953
57578 9530.00000 -12.49084
57578 9540.00000 -11.87217
57578 9550.00000 -11.25350
57578 9560.00000 -10.63486
57578 9570.00000 -10.01622
57578 9580.00000 -9.39760
57578 9590.00000 -8.77899
57578 9600.00000 -8.16039
57578 9610.00000 -7.54180
57578 9620.00000 -6.92323
57578 9630.00000 -6.30467
57578 9640.00000 -5.68612
57578 9650.00000 -5.06758
57578 9660.00000 -4.44906
57578 9670.00000 -3.83054
57578 9680.00000 -3.21204
57578 9690.00000 -2.59355
57578 9700.00000 -1.97507
57578 9710.00000 -1.35660
57578 9720.00000 -0.73814
57578 9730.00000 -0.11969
57578 9740.00000 0.49875
57578 9750.00000 1.11718
57578 9760.00000 1.73559
57578 9770.00000 2.35400
57578 9780.00000 2.97240
57578 9790.00000 3.59079
57578 9800.00000 4.20917
57578 9810.00000 4.82754
57578 9820.00000 5.44591
57578 9830.00000 6.06426
57578 9840.00000 6.68261
57578 9850.00000 7.30094
57578 9860.00000 7.91927
57578 9870.00000 8.53760
57578 9880.00000 9.15591
57578 9890.00000 9.77422
57578 9900.00000 10.39252
57578 9910.00000 11.01081
57578 9920.00000 11.62909
57578 9930.00000 12.24737
57578 9940.00000 12.86565
57578 9950.00000 13.48391
57578 9960.00000 14.10217
57578 9970.00000 14.72043
57578 9980.00000 15.33868
57578 9990.00000 15.95692
57578 10000.00000 16.57516
57578 10010.00000 17.19340
57578 10020.00000 17.81163
57578 10030.00000 18.42985
57578 10040.00000 19.04807
57578 10050.00000 19.66629
